0.25	0
0.5	0.1
0.75	0.15
1.0	0.25
1.25	0.3
1.5	0.5
1.75	0.7
2.0	0.8
2.25	0.85
2.5	0.9
2.75	1.1
3.0	1.15
3.25	1.2
3.5	1.2
3.75	1.3
4.0	1.5
4.25	1.8
4.5	2.0
4.75	2.05
5.0	2.15
5.25	2.3
5.5	2.4
5.75	2.6
6.0	2.75
6.25	2.8
6.5	2.9
6.75	3.2
7.0	3.3
7.25	3.4
7.5	3.45
7.75	3.5
8.0	3.6
8.25	3.56
8.5	3.6
8.75	3.62
9.0	3.6
9.25	3.57
9.5	3.54
9.75	3.48
10.0	3.43
10.25	3.4
10.5	3.34
10.75	3.27
11.0	3.25
11.25	3.20
11.5	3.27
11.75	3.3
12.0	3.32
12.25	3.36
12.5	3.4
12.75	3.46
13.0	3.5
13.25	3.55
13.5	3.7
13.75	3.8
14.0	3.8
14.25	3.9
14.5	4.0
14.75	4.0
15.0	4.2
15.25	4.3
15.5	4.5
15.75	4.5
16.0	4.7
16.25	4.9
16.5	5.1
16.75	5.2
17.0	5.2
17.25	5.2
17.5	5.2
17.75	5.1
18.0	5.1
18.25	5.1
18.5	5.1
18.75	5.0
19.0	5.0
19.25	5.0
19.5	5.0
19.75	4.8
20.0	4.6
20.25	4.4
20.5	4.3
20.75	4.2
21.0	4.1
21.25	4.0
21.5	3.8
21.75	3.5
22.0	3.2
22.25	3.1
22.5	3.0
22.75	3.0
23.0	3.0
23.25	3.1
23.5	3.2
23.75	3.3
24.0	3.5
24.25	3.6
24.5	3.65
24.75	3.68
25.0	3.8
25.25	3.9
25.5	3.95
25.75	4.0
26.0	4.01
26.25	4.03
26.5	4.05
26.75	4.08
27.0	4.1
27.25	4.11
27.5	4.12
27.75	4.11
28.0	4.09
28.25	4.07
28.5	4.04
28.75	4
29.0	3.9
29.25	3.8
29.5	3.75
29.75	3.7
30.0	3.6
30.25	3.65
30.5	3.55
30.75	3.4
31.0	3.35
31.25	3.3
31.5	3.3
31.75	3.25
32.0	3.2
32.25	3.1
32.5	3.11
32.75	3.1
33.0	3.09
33.25	3.08
33.5	3.08
33.75	3.07
34.0	3.05
34.25	3
34.5	3.1
34.75	3.13
35.0	3.18
35.25	3.24
35.5	3.31
35.75	3.33
36.0	3.38
36.25	3.45
36.5	3.51
36.75	3.58
37.0	3.67
37.25	3.75
37.5	3.89
37.75	4.01
38.0	4.12
38.25	4.24
38.5	4.37
38.75	4.52
39.0	4.75
39.25	4.9
39.5	5.24
39.75	5.46
40.0	5.73
40.25	5.99
40.5	6.12
40.75	6.21
41.0	6.26
41.25	6.28
41.5	6.34
41.75	6.39
42.0	6.45
42.25	6.43
42.5	6.40
42.75	6.38
43.0	6.36
43.25	6.3
43.5	6.25
43.75	6.15
44.0	5.9
44.25	5.7
44.5	5.55
44.75	5.32
45.0	5.10
45.25	5.02
45.5	4.97
45.75	5.0
46.0	5.02
46.25	5.05
46.5	5.1
46.75	5.2
47.0	5.29
47.25	5.36
47.5	5.4
47.75	5.44
48.0	5.49
48.25	5.51
48.5	5.52
48.75	5.39
49.0	5.28
49.25	5.1
49.5	4.9
49.75	4.83
50.0	4.76
50.25	4.7
50.5	4.6
50.75	4.5
51.0	4.4
51.5	4.3
51.75	4.2
52.0	4.1
52.5	3.9
53.0	3.7
53.5	3.5
54.0	3.3
54.5	3.1
55.0	2.9
55.5	2.7
56.0	2.5
56.5	2.3
57.0	2.2
57.5	2.1
58.0	2.0
59.0	1.9
60.0	1.8
61.0	1.7
62.0	1.6
63.0	1.5
64.0	1.4
65.0	1.3
66.0	1.2
67.0	1.1
68.0	1.0
69.0	0.9
70.0	0.8
71.0	0.75
72.0	0.7
73.0	0.65
74.0	0.6
75.0	0.55
76.0	0.5
77.0	0.45
78.0	0.4
79.0	0.35
80.0	0.3
81.0	0.275
82.0	0.25
83.0	0.225
84.0	0.2
85.0	0.175
86.0	0.15
87.0	0.125
88.0	0.1
89.0	0.075
90.0	0.05
91.0	0.025
92.0	0.0
93.0	0.0
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	0.0
